time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/n_updates,train/std,train/learning_rate,train/value_loss,train/clip_fraction,train/entropy_loss,train/loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
23,1,2048,1.0,5.939758950000001,85,,,,,,,,,,,,,
23,2,4096,1.0,6.014189620000001,172,-0.010627033747732639,0.03280150890350342,0.2,10,0.9941059350967407,0.0003,6.211630572099239,0.09365234375,-7.07956055700779,0.026019925251603127,0.012935216,,
23,3,6144,1.0,6.045663459999999,259,-0.05028505082300398,0.7949918508529663,0.2,20,0.9814607501029968,0.0003,0.03685640876647085,0.30322265625,-7.03101975619793,-0.055143605917692184,0.050620455,,
23,4,8192,1.0,6.10688166,345,-0.08906453468371182,0.8901011943817139,0.2,30,0.9742588400840759,0.0003,0.022583778022089974,0.504833984375,-6.9821753859519955,-0.08265343308448792,0.11157926,,
,,10000,,,,-0.10427026726538316,0.9219387173652649,0.2,40,0.9616453051567078,0.0003,0.01755395165528171,0.575927734375,-6.925572887063026,-0.10144659876823425,0.13628703,2.8,18.1637628
23,5,10240,1.0,6.197137620000001,432,,,,,,,,,,,,,
23,6,12288,1.0,6.237188489999999,518,-0.10716048153699376,0.9271352291107178,0.2,50,0.9467942118644714,0.0003,0.015878488814632875,0.566748046875,-6.850288471579551,-0.11381933838129044,0.127642,,
23,7,14336,1.0,6.35142688,605,-0.11447807278600522,0.935483992099762,0.2,60,0.9330496191978455,0.0003,0.014707276516128331,0.618701171875,-6.767149277031422,-0.12289377301931381,0.16358775,,
23,8,16384,1.0,6.32630206,691,-0.11206160297733732,0.9319855570793152,0.2,70,0.9201914072036743,0.0003,0.015244633324618917,0.6189453125,-6.685645011067391,-0.10711047798395157,0.14349553,,
23,9,18432,1.0,6.28738326,779,-0.10563634450081735,0.9335485696792603,0.2,80,0.9095050692558289,0.0003,0.01447019869228825,0.60205078125,-6.6155834451317785,-0.11191844940185547,0.15967485,,
