rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/std,train/value_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
4.102764950000001,23,87,1,2048,1.0,,,,,,,,,,,,,
4.0836491200000005,22,180,2,4096,1.0,0.9987703561782837,1.4448685148905498,10,0.02493747,0.2703125,-0.06688753515481949,-0.04285149743082002,-0.12983989715576172,0.0003,0.2,-35.46175584793091,,
4.124611750000001,22,268,3,6144,1.0,0.992859959602356,0.026961282273987308,20,0.034619384,0.35869140625,-0.08885742723941803,-0.058843600878026335,0.4373474717140198,0.0003,0.2,-35.349975121021274,,
4.10250183,23,355,4,8192,1.0,0.9896082878112793,0.0182836222476908,30,0.03778271,0.383203125,-0.06293962895870209,-0.05930077146331314,0.69490647315979,0.0003,0.2,-35.234857094287875,,
,,,,10000,,0.9861364364624023,0.01677784415660426,40,0.043126173,0.427783203125,-0.07557746022939682,-0.06213627249817364,0.710469126701355,0.0003,0.2,-35.14675472974777,2.8,11.527647600000002
4.11904669,23,443,5,10240,1.0,,,,,,,,,,,,,
4.12252633,23,531,6,12288,1.0,0.9812511801719666,0.016520076768938453,50,0.05366697,0.461865234375,-0.06446133553981781,-0.06127993858826812,0.7422758340835571,0.0003,0.2,-35.037672710418704,,
4.13096145,23,619,7,14336,1.0,0.9759348630905151,0.015199253013997804,60,0.061324507,0.468603515625,-0.1059323400259018,-0.06393390407902189,0.7725456953048706,0.0003,0.2,-34.9122517824173,,
4.118763599999999,22,712,8,16384,1.0,0.9717366695404053,0.015012372317141854,70,0.07721551,0.517431640625,-0.09110651165246964,-0.0577733210317092,0.7705962657928467,0.0003,0.2,-34.78312215805054,,
4.12974587,22,805,9,18432,1.0,0.9677284955978394,0.01564614729722962,80,0.08864114,0.527734375,-0.09523747861385345,-0.06414667723001913,0.7649068832397461,0.0003,0.2,-34.67735885381698,,
,,,,20000,,0.963030219078064,0.015267890118411741,90,0.1008577,0.554833984375,-0.07325300574302673,-0.05787440608255565,0.7732733488082886,0.0003,0.2,-34.567503440380094,1.0,4.1425968
4.14738029,22,893,10,20480,1.0,,,,,,,,,,,,,
4.15611127,22,981,11,22528,1.0,0.9596461057662964,0.014852727604738903,100,0.120203406,0.58466796875,-0.07499353587627411,-0.06002487976802513,0.7679546475410461,0.0003,0.2,-34.46083512306213,,
4.16691586,22,1069,12,24576,1.0,0.953041136264801,0.016225655874586666,110,0.13687044,0.5943359375,-0.08156245946884155,-0.05424676057009492,0.7656675577163696,0.0003,0.2,-34.32867435216904,,
4.14183605,23,1156,13,26624,1.0,0.9488540291786194,0.015421781811164692,120,0.15079755,0.619580078125,-0.08618588745594025,-0.047467030672123656,0.7814691066741943,0.0003,0.2,-34.1848331451416,,
4.20511136,23,1244,14,28672,1.0,0.9445508122444153,0.015722767110855785,130,0.19359723,0.6302734375,-0.028989730402827263,-0.0467868217267096,0.7891547679901123,0.0003,0.2,-34.06837700605392,,
,,,,30000,,0.9429965019226074,0.015930405526887625,140,0.20014563,0.658837890625,-0.10857117176055908,-0.04712560887855943,0.7800065279006958,0.0003,0.2,-33.9883554816246,1.0,4.311242
4.18587673,23,1331,15,30720,1.0,,,,,,,,,,,,,
4.25065539,23,1419,16,32768,1.0,0.939286470413208,0.016441420893534085,150,0.22925907,0.653515625,-0.04804518073797226,-0.044041944938362575,0.76845383644104,0.0003,0.2,-33.92232258319855,,
4.209694999999999,23,1506,17,34816,1.0,0.9372471570968628,0.017452163621783257,160,0.22733104,0.668017578125,-0.02523583173751831,-0.04031547019840218,0.760677695274353,0.0003,0.2,-33.83745619058609,,
4.30484462,23,1594,18,36864,1.0,0.9314315319061279,0.01835156482702587,170,0.29777622,0.7009765625,-0.060817524790763855,-0.026619875780306758,0.7571794986724854,0.0003,0.2,-33.72861008644104,,
4.28634202,23,1681,19,38912,1.0,0.92844158411026,0.018928060858161188,180,0.3783463,0.725732421875,-0.058733291923999786,-0.003723662800621241,0.727936327457428,0.0003,0.2,-33.61100330352783,,
,,,,40000,,0.9244335889816284,0.018145437445491554,190,0.3516551,0.730078125,-0.07205074280500412,-0.0010648126975866035,0.7162701487541199,0.0003,0.2,-33.51299394369126,1.0,4.526051
4.22083833,23,1774,20,40960,1.0,,,,,,,,,,,,,
4.29473337,23,1862,21,43008,1.0,0.9212366938591003,0.02077357285306789,200,0.35332692,0.71826171875,-0.03915189579129219,-0.010880834083945957,0.7300971150398254,0.0003,0.2,-33.40559257268906,,
4.34107908,23,1950,22,45056,1.0,0.9188496470451355,0.019973181892419235,210,0.4348471,0.746337890625,0.007389869540929794,0.003779108665185049,0.7330686450004578,0.0003,0.2,-33.32352409362793,,
4.35431385,23,2038,23,47104,1.0,0.9146804809570312,0.021323363378178327,220,0.4626975,0.773046875,0.04738632217049599,0.043367966971709394,0.7269816398620605,0.0003,0.2,-33.23616646528244,,
4.31095889,23,2126,24,49152,1.0,0.9114530682563782,0.02173401297768578,230,0.5396433,0.78017578125,-0.05436351150274277,0.04794132129754871,0.7102080583572388,0.0003,0.2,-33.12608717679977,,
,,,,50000,,0.9086510539054871,0.021071639473666436,240,0.5113844,0.7791015625,-0.0344204381108284,0.06893297421338503,0.7081717252731323,0.0003,0.2,-33.02530409097672,1.0,4.241671800000001
4.379026079999999,23,2219,25,51200,1.0,,,,,,,,,,,,,
4.3536904000000005,23,2306,26,53248,1.0,0.9053370356559753,0.022223210131051017,250,0.77000815,0.823828125,0.13100145757198334,0.08123523702961392,0.7371058464050293,0.0003,0.2,-32.94644062519073,,
