time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/value_loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/std,train/entropy_loss,train/n_updates,train/approx_kl,train/explained_variance,train/loss,eval/mean_reward,eval/mean_ep_length
1,1.0,2048,4.1515359400000005,23,85,,,,,,,,,,,,,
2,1.0,4096,4.225734780000001,23,172,1.592069737694692,-0.03528859801299404,0.2,0.25048828125,0.0003,0.9978722333908081,-29.76838737130165,10,0.024800194,-0.1458122730255127,-0.05959615111351013,,
3,1.0,6144,4.158059959999999,23,259,0.0267813814105466,-0.04825420591514558,0.2,0.321875,0.0003,0.9938321113586426,-29.69967715740204,20,0.029891185,0.5114909410476685,-0.04853658750653267,,
4,1.0,8192,4.199129340000001,23,345,0.017094385848031378,-0.04577130175021012,0.2,0.365234375,0.0003,0.9900397658348083,-29.61171402335167,30,0.03713286,0.7519054412841797,-0.06194717064499855,,
,,10000,,,,0.01842152356693987,-0.05356729298946448,0.2,0.405224609375,0.0003,0.9834064245223999,-29.49770916104317,40,0.044611186,0.7667912840843201,-0.0529063381254673,12.956138199999998,2.8
5,1.0,10240,4.23436176,23,433,,,,,,,,,,,,,
6,1.0,12288,4.271840749999999,23,519,0.016906795089016668,-0.0602442106930539,0.2,0.42880859375,0.0003,0.98044353723526,-29.40265907049179,50,0.05493149,0.7816605567932129,-0.05989830195903778,,
7,1.0,14336,4.19259754,23,605,0.016198073668056166,-0.056322346650995316,0.2,0.50439453125,0.0003,0.9765353798866272,-29.324250102043152,60,0.080466956,0.8088548183441162,-0.10876563936471939,,
8,1.0,16384,4.2262962,23,691,0.016525200442993083,-0.0708837879006751,0.2,0.558154296875,0.0003,0.9714134931564331,-29.22190684080124,70,0.109653525,0.7915564775466919,-0.08839310705661774,,
9,1.0,18432,4.30678434,23,778,0.016091362561564893,-0.062136003351770344,0.2,0.5716796875,0.0003,0.9681592583656311,-29.13288968205452,80,0.11034249,0.7875354886054993,-0.09353268146514893,,
,,20000,,,,0.018953292715013958,-0.06481768405355978,0.2,0.60517578125,0.0003,0.9638538360595703,-29.057487612962724,90,0.1462626,0.793176531791687,-0.10298705101013184,4.2314752,1.0
10,1.0,20480,4.26220037,23,864,,,,,,,,,,,,,
